VAR_CODE;VAR_LIB;MOD_CODE;MOD_LIB
COMMUNE;"Département et commune du lieu de résidence"
ARM;"Arrondissement municipal de résidence (Paris, Lyon et Marseille)"
DCRAN;"Département et commune de résidence antérieure au 1er janvier de l'annéee précédente (arrondissement municipal pour Paris, Lyon, Marseille)"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";1;"Avant 1919"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";2;"De 1919 à 1945"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";3;"De 1946 à 1970"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";4;"De 1971 à 1990"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";5;"De 1991 à 2005"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";6;"De 2006 à 2010"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";7;"Depuis 2011 (partiel)"
ACHLR;"Période regroupée d'achèvement de la construction de la maison ou de l'immeuble";Z;"Hors logement ordinaire"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";00;"Moins de 15 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";15;"15 à 19 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";20;"20 à 24 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";25;"25 à 39 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";40;"40 à 54 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";55;"55 à 64 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";65;"65 à 79 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";80;"80 ans ou plus"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";YY;"Hors résidence principale"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";ZZ;"Hors logement ordinaire"
AGEREVQ;"Âge quinquennal en années révolues";000;"0 à 4 ans"
AGEREVQ;"Âge quinquennal en années révolues";005;"5 à 9 ans"
AGEREVQ;"Âge quinquennal en années révolues";010;"10 à 14 ans"
AGEREVQ;"Âge quinquennal en années révolues";015;"15 à 19 ans"
AGEREVQ;"Âge quinquennal en années révolues";020;"20 à 24 ans"
AGEREVQ;"Âge quinquennal en années révolues";025;"25 à 29 ans"
AGEREVQ;"Âge quinquennal en années révolues";030;"30 à 34 ans"
